
"1d100","Item"
"01–02","Bead of Nourishment"
"03–04","Bead of Refreshment"
"05–07","Candle of the Deep"
"08–10","Cloak of Billowing"
"11–13","Cloak of Many Fashions"
"14–15","Clothes of Mending"
"16–17","Dark Shard Amulet"
"18–19","Enduring Spellbook"
"20–21","Ersatz Eye"
"22–24","Hat of Vermin"
"25–27","Hat of Wizardry"
"28–29","Heward's Handy Spice Pouch"
"30–31","Horn of Silent Alarm"
"32–33","Instrument of Illusions"
"34–35","Instrument of Scribing"
"36–37","Lock of Trickery"
"38–40","Mystery Key"
"41–42","Orb of Direction"
"43–44","Orb of Time"
"45–46","Perfume of Bewitching"
"47–49","Pipe of Smoke Monsters"
"50–52","Potion of Climbing"
"53–55","Potion of Comprehension"
"56–58","Pot of Awakening"
"59–60","Prosthetic Limb"
"61–64","Rival Coin"
"65–66","Rope of Mending"
"67–68","Ruby of the War Mage"
"69–82","Spell Scroll (cantrip or level 1 spell)"
"83–84","Staff of Adornment"
"85–86","Staff of Birdcalls"
"87–89","Staff of Flowers"
"90–92","Talking Doll"
"93–94","Tankard of Sobriety"
"95–97","Wand of Conducting"
"98–00","Wand of Pyrotechnics"
