"1d100","Item"
"01","Bag of Beans"
"02–03","Bead of Force"
"04","Bowl of Commanding Water Elementals"
"05–06","Bracers of Defense"
"07","Brazier of Commanding Fire Elementals"
"08–09","Cape of the Mountebank"
"10","Censer of Controlling Air Elementals"
"11–12","Chime of Opening"
"13–14","Cloak of Displacement"
"15–16","Cloak of the Bat"
"17","Cube of Force"
"18","Cube of Summoning"
"19","Daern's Instant Fortress"
"20–21","Enspelled Staff (level 2 or 3 spell)"
"22–23","Figurine of Wondrous Power (bronze griffon, ebony fly, golden lions, ivory goats, marble elephant, onyx dog, or serpentine owl)"
"24–25","Folding Boat"
"26–27","Gem of Seeing"
"28","Helm of Teleportation"
"29–30","Heward's Handy Haversack"
"31–32","Horseshoes of Speed"
"33–34","Ioun Stone (reserve)"
"35","Iron Bands of Bilarro"
"36","Mantle of Spell Resistance"
"37–38","Necklace of Fireballs"
"39","Oil of Etherealness"
"40","Portable Hole"
"41–42","Potion of Clairvoyance"
"43–44","Potion of Diminution"
"45–46","Potion of Gaseous Form"
"47","Potion of Giant Strength (fire)"
"48–49","Potion of Giant Strength (frost or stone)"
"50–51","Potion of Heroism"
"52–53","Potion of Invisibility"
"54–55","Potion of Invulnerability"
"56–57","Potion of Mind Reading"
"58–59","Quaal's Feather Token (bird, swan boat, or whip)"
"60–61","Ring of Feather Falling"
"62","Ring of Spell Storing"
"63","Ring of X-ray Vision"
"64–65","Robe of Eyes"
"66","Rod of Rulership"
"67–68","Rod of the Pact Keeper, +2"
"69–70","Scroll of Protection"
"71–75","Spell Scroll (level 4 or level 5 spell)"
"76–77","Staff of Charming"
"78–79","Staff of Swarming Insects"
"80–81","Staff of Withering"
"82","Stone of Controlling Earth Elementals"
"83–84","Wand of Binding"
"85–86","Wand of Fear"
"87–90","Wand of Fireballs"
"91–94","Wand of Lightning Bolts"
"95–96","Wand of the War Mage, +2"
"97–98","Wand of Wonder"
"99–00","Wings of Flying"
