"1d100","Item"
"01","Amulet of Proof against Detection and Location"
"02","Baba Yaga's Dancing Broom"
"03–05","Bag of Holding"
"06–07","Bag of Tricks"
"08","Brooch of Shielding"
"09","Broom of Flying"
"10","Cap of Water Breathing"
"11","Circlet of Blasting"
"12–13","Cloak of Protection"
"14","Cloak of the Manta Ray"
"15","Decanter of Endless Water"
"16","Deck of Illusions"
"17–18","Driftglobe"
"19–20","Dust of Disappearance"
"21","Dust of Dryness"
"22","Dust of Sneezing and Choking"
"23–24","Elemental Gem"
"25","Enspelled Staff (cantrip or level 1 spell)"
"26","Eversmoking Bottle"
"27","Eyes of Charming"
"28","Eyes of Minute Seeing"
"29–30","Figurine of Wondrous Power (silver raven)"
"31","Gem of Brightness"
"32","Hag Eye"
"33","Hat of Disguise"
"34","Headband of Intellect"
"35","Helm of Comprehending Languages"
"36","Helm of Telepathy"
"37","Immovable Rod"
"38","Lantern of Revealing"
"39","Medallion of Thoughts"
"40","Mithral Armor"
"41–42","Necklace of Adaptation"
"43","Oil of Slipperiness"
"44","Pearl of Power"
"45","Periapt of Health"
"46–47","Philter of Love"
"48–49","Potion of Animal Friendship"
"50–51","Potion of Fire Breath"
"52–53","Potion of Giant Strength (hill)"
"54–55","Potion of Growth"
"56–57","Potion of Poison"
"58–59","Potion of Resistance"
"60–61","Potion of Water Breathing"
"62","Quaal's Feather Token (anchor, fan, or tree)"
"63","Ring of Mind Shielding"
"64–65","Robe of Useful Items"
"66–67","Rod of the Pact Keeper"
"68–69","Rope of Climbing"
"70","Saddle of the Cavalier"
"71–72","Sending Stones"
"73–74","Slippers of Spider Climbing"
"75–82","Spell Scroll (level 2 or level 3 spell)"
"83","Staff of the Adder"
"84","Staff of the Python"
"85–88","Wand of Magic Detection"
"89–91","Wand of Magic Missiles"
"92–93","Wand of Secrets"
"94–95","Wand of the War Mage, +1"
"96–97","Wand of Web"
"98–99","Wind Fan"
"00","Winged Boots"
