"1d100","Item"
"01–02","Amulet of the Planes"
"03–04","Bag of Devouring"
"05–06","Carpet of Flying"
"07–08","Cauldron of Rebirth"
"09–10","Cloak of Arachnida"
"11–12","Crystal Ball"
"13","Dancing Sword"
"14","Efreeti Bottle"
"15–16","Enspelled Staff (level 4 or 5 spell)"
"17–18","Figurine of Wondrous Power (obsidian steed)"
"19–20","Hat of Many Spells"
"21–22","Helm of Brilliance"
"23–24","Horseshoes of a Zephyr"
"25–26","Ioun Stone (absorption, fortitude, intellect, or leadership)"
"27–28","Manual of Golems (clay, flesh, iron, or stone)"
"29","Mirror of Life Trapping"
"30–31","Nolzur's Marvelous Pigments"
"32–34","Oil of Sharpness"
"35–38","Potion of Flying"
"39–42","Potion of Giant Strength (cloud)"
"43–46","Potion of Greater Invisibility"
"47–49","Potion of Longevity"
"50–53","Potion of Speed"
"54–57","Potion of Vitality"
"58–59","Ring of Regeneration"
"60–61","Ring of Shooting Stars"
"62–63","Ring of Telekinesis"
"64–65","Robe of Scintillating Colors"
"66–67","Robe of Stars"
"68–69","Rod of Absorption"
"70–71","Rod of Security"
"72–73","Rod of the Pact Keeper, +3"
"74–85","Spell Scroll (level 6, level 7, or level 8 spell)"
"86–87","Staff of Fire"
"88–89","Staff of Frost"
"90","Staff of Power"
"91–92","Staff of Thunder and Lightning"
"93–94","Tome of Clear Thought"
"95–97","Wand of Polymorph"
"98–00","Wand of the War Mage, +3"
