"1d100","Item"
"01–06","Armor, +3"
"07–12","Armor of Invulnerability"
"13–18","Belt of Giant Strength (cloud)"
"19–21","Belt of Giant Strength (storm)"
"22–27","Defender"
"28–33","Efreeti Chain"
"34–39","Enspelled Armor (level 6, 7, or 8 spell)"
"40–45","Enspelled Weapon (level 6, 7, or 8 spell)"
"46–51","Hammer of Thunderbolts"
"52–56","Holy Avenger"
"57–62","Horn of Valhalla (iron)"
"63–68","Luck Blade"
"69–72","Moonblade"
"73–78","Plate Armor of Etherealness"
"79–87","Potion of Giant Strength (storm)"
"88–90","Rod of Lordly Might"
"91–95","Sword of Answering"
"96–00","Vorpal Sword"
