"1d100","Item"
"01–03","Ammunition, +2"
"04–07","Armor, +1"
"08–10","Armor of Resistance"
"11–13","Armor of Vulnerability"
"14–15","Arrow-Catching Shield"
"16–18","Belt of Giant Strength (hill)"
"19–20","Berserker Axe"
"21–22","Daern's Instant Fortress"
"23–25","Dagger of Venom"
"26–28","Dragon Slayer"
"29–31","Elven Chain"
"32–34","Enspelled Armor (level 2 or 3 spell)"
"35–37","Enspelled Weapon (level 2 or 3 spell)"
"38–40","Flame Tongue"
"41–43","Giant Slayer"
"44–46","Horn of Blasting"
"47–48","Horn of Valhalla (brass or silver)"
"49–51","Ioun Stone (protection)"
"52–54","Mace of Disruption"
"55–57","Mace of Smiting"
"58–60","Mace of Terror"
"61–63","Potion of Giant Strength (fire)"
"64–66","Potion of Giant Strength (frost or stone)"
"67–69","Potion of Heroism"
"70–72","Potion of Invulnerability"
"73–75","Ring of Protection"
"76–78","Ring of the Ram"
"79–81","Shield, +2"
"82–84","Shield of Missile Attraction"
"85–86","Sun Blade"
"87–88","Sword of Life Stealing"
"89–90","Sword of Wounding"
"91–92","Tentacle Rod"
"93–94","Vicious Weapon"
"95–97","Weapon, +2"
"98–00","Wraps of Unarmed Power, +2"
