"1d100","Item"
"01–04","Ammunition, +2"
"05–08","Bag of Beans"
"09–12","Belt of Dwarvenkind"
"13–16","Boots of Levitation"
"17–20","Boots of Speed"
"21–24","Chime of Opening"
"25–28","Dimensional Shackles"
"29–32","Enspelled Weapon (level 2 or 3 spell)"
"33–36","Folding Boat"
"37–40","Glamoured Studded Leather"
"41–44","Heward's Handy Haversack"
"45–48","Horseshoes of Speed"
"49–52","Instrument of the Bards (Canaith mandolin or Cli lyre)"
"53–56","Ioun Stone (awareness)"
"57–60","Portable Hole"
"61–64","Potion of Diminution"
"65–68","Potion of Gaseous Form"
"69–76","Potion of Healing (superior)"
"77–80","Quaal's Feather Token (bird, swan boat, or whip)"
"81–84","Ring of Evasion"
"85–88","Ring of Free Action"
"89–92","Rope of Entanglement"
"93–96","Staff of Healing"
"97–00","Wand of Enemy Detection"
