"1d100","Item"
"01–02","Alchemy Jug"
"03–06","Ammunition, +1"
"07–10","Bag of Holding"
"11–12","Boots of Elvenkind"
"13–14","Boots of Striding and Springing"
"15–16","Boots of the Winterlands"
"17–18","Broom of Flying"
"19–20","Cap of Water Breathing"
"21–22","Cloak of Elvenkind"
"23–24","Cloak of Protection"
"25–26","Cloak of the Manta Ray"
"27","Decanter of Endless Water"
"28–30","Driftglobe"
"31–32","Dust of Disappearance"
"33–34","Dust of Dryness"
"35–36","Dust of Sneezing and Choking"
"37–38","Enspelled Weapon (cantrip or level 1 spell)"
"39–40","Eyes of Minute Seeing"
"41–42","Eyes of the Eagle"
"43–44","Gloves of Missile Snaring"
"45–46","Gloves of Swimming and Climbing"
"47–48","Gloves of Thievery"
"49–50","Goggles of Night"
"51","Hag Eye"
"52–54","Helm of Comprehending Languages"
"55","Immovable Rod"
"56–57","Instrument of the Bards (Doss lute, Fochlucan bandore, or Mac-Fuirmidh cittern)"
"58–59","Lantern of Revealing"
"60–61","Nature's Mantle"
"62–63","Oil of Slipperiness"
"64–65","Pipes of Haunting"
"66–67","Pipes of the Sewers"
"68–71","Potion of Growth"
"72–80","Potion of Healing (greater)"
"81–84","Potion of Water Breathing"
"85–86","Quaal's Feather Token (anchor, fan, or tree)"
"87–88","Ring of Jumping"
"89–90","Ring of Swimming"
"91–92","Ring of Warmth"
"93–94","Robe of Useful Items"
"95–96","Rope of Climbing"
"97–98","Stone of Good Luck"
"99–00","Wand of Secrets"
