"1d100","Item"
"01–07","Ammunition, +3"
"08–14","Bag of Devouring"
"15–21","Carpet of Flying"
"22–28","Enspelled Weapon (level 4 or 5 spell)"
"29–35","Horseshoes of a Zephyr"
"36–42","Instrument of the Bards (Anstruth harp)"
"43–49","Ioun Stone (agility)"
"50–56","Lute of Thunderous Thumping"
"57–63","Manual of Quickness of Action"
"64–70","Nolzur's Marvelous Pigments"
"71–77","Potion of Flying"
"78–86","Potion of Healing (supreme)"
"87–93","Potion of Speed"
"94–00","Tome of Leadership and Influence"
