"1d100","Item"
"01–04","Apparatus of Kwalish"
"05–08","Cloak of Invisibility"
"09–12","Crystal Ball of Mind Reading"
"13–16","Crystal Ball of Telepathy"
"17–20","Crystal Ball of True Seeing"
"21–22","Cubic Gate"
"23","Deck of Many Things"
"24–27","Enspelled Staff (level 6, 7, or 8 spell)"
"28–31","Ioun Stone (greater absorption, mastery, or regeneration)"
"32–33","Iron Flask"
"34–41","Potion of Storm Giant Strength (storm)"
"42–45","Ring of Djinni Summoning"
"46–49","Ring of Elemental Command (air, earth, fire, or water)"
"50–53","Ring of Invisibility"
"54–57","Ring of Spell Turning"
"58","Ring of Three Wishes"
"59","Robe of the Archmagi"
"60–61","Scroll of Titan Summoning"
"62–65","Sovereign Glue"
"66–83","Spell Scroll (level 9 spell)"
"84","Sphere of Annihilation"
"85","Staff of the Magi"
"86–88","Talisman of the Sphere"
"89–92","Tome of the Stilled Tongue"
"93–96","Universal Solvent"
"97–00","Well of Many Worlds"
