"1d100","Item"
"01–04","Adamantine Armor"
"05–08","Adamantine Weapon"
"09–13","Ammunition, +1"
"14–18","Bracers of Archery"
"19–23","Enspelled Armor (cantrip or level 1 spell)"
"24–28","Enspelled Weapon (cantrip or level 1 spell)"
"29–33","Gauntlets of Ogre Power"
"34–38","Javelin of Lightning"
"39–43","Mariner's Armor"
"44–48","Mithral Armor"
"49–53","Potion of Giant Strength (hill)"
"54–58","Potion of Pugilism"
"59–62","Quiver of Ehlonna"
"63–66","Saddle of the Cavalier"
"67–71","Sentinel Shield"
"72–76","Shield, +1"
"77–81","Sword of Vengeance"
"82–85","Trident of Fish Command"
"86–90","Weapon, +1"
"91–95","Weapon of Warning"
"96–00","Wraps of Unarmed Power, +1"
