"1d100","Item"
"01–03","Ammunition, +3"
"04–06","Ammunition of Slaying"
"07–09","Animated Shield"
"10–12","Armor, +2"
"13–14","Belt of Giant Strength (fire)"
"15–17","Belt of Giant Strength (frost or stone)"
"18–19","Dancing Sword"
"20–22","Demon Armor"
"23–25","Dragon Scale Mail"
"26–28","Dwarven Plate"
"29–31","Dwarven Thrower"
"32–34","Energy Bow"
"35–37","Enspelled Armor (level 4 or 5 spell)"
"38–40","Enspelled Weapon (level 4 or 5 spell)"
"41–43","Executioner's Axe"
"44–46","Frost Brand"
"47–49","Horn of Valhalla (bronze)"
"50–52","Ioun Stone (strength)"
"53–55","Lute of Thunderous Thumping"
"56–58","Manual of Gainful Exercise"
"59–61","Nine Lives Stealer"
"62–64","Oathbow"
"65–68","Oil of Sharpness"
"69–72","Potion of Giant Strength (cloud)"
"73–75","Quarterstaff of the Acrobat"
"76–78","Scimitar of Speed"
"79–82","Shield, +3"
"83–85","Shield of the Cavalier"
"86–88","Spellguard Shield"
"89–91","Sword of Sharpness"
"92–94","Thunderous Greatclub"
"95–97","Weapon, +3"
"98–00","Wraps of Unarmed Power, +3"
