"1d100","Item"
"01–03","Amulet of Health"
"04–07","Armor, +1"
"08–09","Bowl of Commanding Water Elementals"
"10–11","Brazier of Commanding Fire Elementals"
"12–13","Censer of Controlling Air Elementals"
"14–16","Elixir of Health"
"17–19","Enspelled Staff (level 2 or 3 spell)"
"20–22","Horn of Blasting"
"23–25","Horn of Valhalla (brass or silver)"
"26–28","Ioun Stone (reserve or sustenance)"
"29–31","Mace of Disruption"
"32–34","Mace of Smiting"
"35–37","Mace of Terror"
"38–40","Necklace of Prayer Beads"
"41–43","Periapt of Proof against Poison"
"44–51","Potion of Healing (superior)"
"52–54","Ring of Animal Influence"
"55–58","Ring of Resistance"
"59–61","Ring of Spell Storing"
"62–65","Scroll of Protection"
"66–73","Spell Scroll (level 4 or level 5 spell)"
"74–76","Staff of Charming"
"77–79","Staff of Healing"
"80–82","Staff of Swarming Insects"
"83–85","Staff of the Woodlands"
"86–88","Staff of Withering"
"89–90","Stone of Controlling Earth Elementals"
"91–93","Tentacle Rod"
"94–96","Wand of Paralysis"
"97–00","Wand of the War Mage, +2"
