"1d100","Item"
"01–05","Armor, +2"
"06–10","Candle of Invocation"
"11–15","Cauldron of Rebirth"
"16–20","Enspelled Staff (level 4 or 5 spell)"
"21–25","Horn of Valhalla (bronze)"
"26–30","Ioun Stone (insight)"
"31–35","Manual of Bodily Health"
"36–43","Potion of Healing (supreme)"
"44–50","Potion of Vitality"
"51–55","Rod of Alertness"
"56–65","Spell Scroll (level 6, level 7, or level 8 spell)"
"66–70","Spirit Board"
"71–75","Staff of Fire"
"76–80","Staff of Frost"
"81–85","Staff of Striking"
"86–90","Staff of Thunder and Lightning"
"91–95","Tome of Understanding"
"96–00","Wand of the War Mage, +3"
